Date,GDP,Imports,Exports,Trade_Balance
1886/12/31,10286715,3790261,7125356,3335095
1887/12/31,10784423,5036130,7838971,2802841
1888/12/31,12061395,5678337,8876657,3198320
1889/12/31,13668953,8446063,9269082,823019
1890/12/31,15281076,9366446,9837796,471350
1891/12/31,16301139,8572766,11146231,2573465
1892/12/31,16633895,9187211,11978067,2790856
1893/12/31,17893770,11364836,12956534,1591698
1894/12/31,18533490,11298645,13696538,2397893
1895/12/31,22667354,13642405,16798137,3155732
1896/12/31,23970202,17935039,16957838,-977201
1897/12/31,26213721,17931878,19436304,1504426
1898/12/31,31054167,16621354,24423443,7802089
1899/12/31,29460250,15370971,23247258,7876287
1900/12/31,15813851,17161814,7616682,-9545132
1901/12/31,20192713,21416160,10719779,-10696381
1902/12/31,27104104,32109606,16381279,-15728327
1903/12/31,33785911,33764831,22502282,-11262549
1904/12/31,36101407,21821309,27470627,5649318
1905/12/31,41996645,19760970,33769216,14008246
1906/12/31,51688034,18102872,40948693,22845821
1907/12/31,52709766,15586792,44594450,29007658
1908/12/31,48548752,13739878,42011582,28271704
1909/12/31,52082903,14610981,46573223,31962242
